projname,teamname,environment,region,date_of_build,duration,status,log_on,log_off
proj14,team8,stg,AMER,03/05/2024,3518,Success,28/06/2024 13:22:07,28/06/2024 14:05:42
proj524,team5,stg,AMER,23/03/2024,416,Success,29/06/2024 14:13:12,29/06/2024 14:27:08
proj405,team6,dev,EMEA,19/02/2024,2521,Failure,30/06/2024 13:27:41,30/06/2024 14:16:49
proj188,team8,dev,APAC,04/06/2024,3556,Failure,01/07/2024 14:03:12,01/07/2024 14:04:12
proj2,team15,dev,EMEA,20/03/2024,3153,Success,02/07/2024 13:01:50,02/07/2024 13:41:59
proj91,team2,prod,EMEA,18/05/2024,2884,Failure,03/07/2024 13:49:47,03/07/2024 14:01:25
proj89,team1,prod,EMEA,14/01/2024,434,Success,04/07/2024 13:24:59,04/07/2024 13:50:31
proj8,team7,prod,AMER,30/05/2024,153,Success,05/07/2024 14:07:45,05/07/2024 14:14:13
proj63,team11,prod,EMEA,16/02/2024,3729,Failure,06/07/2024 13:16:43,06/07/2024 14:14:47
proj8,team6,stg,APAC,29/01/2024,2186,Failure,07/07/2024 14:01:27,07/07/2024 14:23:33
proj98,team1,prod,EMEA,11/02/2024,3177,Failure,08/07/2024 13:39:06,08/07/2024 13:43:32
proj984,team15,stg,EMEA,05/05/2024,2051,Failure,09/07/2024 13:45:12,09/07/2024 14:30:46
proj8,team14,prod,APAC,29/01/2024,2234,Failure,10/07/2024 13:51:48,10/07/2024 14:12:59
proj5,team16,dev,AMER,31/03/2024,2468,Success,11/07/2024 13:41:05,11/07/2024 14:04:36
proj76,team12,dev,AMER,14/04/2024,3920,Failure,12/07/2024 13:01:47,12/07/2024 13:46:51
proj79,team13,prod,AMER,20/01/2024,1291,Failure,13/07/2024 13:24:35,13/07/2024 13:37:43
proj99,team15,prod,AMER,21/03/2024,540,Success,14/07/2024 13:46:31,14/07/2024 14:06:02
proj7,team11,dev,AMER,23/04/2024,1884,Success,15/07/2024 13:25:46,15/07/2024 13:52:55
proj91,team13,stg,AMER,24/04/2024,2177,Success,16/07/2024 13:53:20,16/07/2024 14:18:00
proj01,team6,dev,EMEA,29/02/2024,458,Success,17/07/2024 12:50:08,17/07/2024 13:49:01
proj374,team11,stg,AMER,20/06/2024,301,Failure,18/07/2024 13:36:46,18/07/2024 14:03:35
proj00,team19,prod,APAC,23/01/2024,2351,Failure,19/07/2024 14:08:50,19/07/2024 14:08:26
proj6,team16,prod,AMER,09/03/2024,123,Failure,20/07/2024 13:49:07,20/07/2024 14:08:00
proj9,team4,dev,AMER,13/06/2024,3503,Failure,27/06/2024 14:08:27,27/06/2024 14:28:45
proj713,team15,stg,APAC,15/06/2024,1266,Failure,28/06/2024 12:42:39,28/06/2024 13:38:41
proj7,team3,prod,EMEA,24/02/2024,3248,Success,29/06/2024 13:18:27,29/06/2024 13:45:23
proj46,team8,stg,EMEA,13/03/2024,1349,Failure,30/06/2024 14:08:38,30/06/2024 14:30:38
proj6,team16,dev,AMER,12/05/2024,1185,Failure,01/07/2024 13:16:57,01/07/2024 13:35:11
proj2,team5,dev,EMEA,06/07/2024,1009,Success,02/07/2024 13:13:19,02/07/2024 13:36:17
proj90,team19,stg,EMEA,04/05/2024,2368,Success,03/07/2024 13:56:34,03/07/2024 13:57:47
proj27,team14,dev,EMEA,13/01/2024,2487,Success,04/07/2024 13:34:11,04/07/2024 14:27:39
proj625,team17,stg,APAC,21/05/2024,3443,Failure,05/07/2024 14:13:57,05/07/2024 14:22:56
proj82,team4,prod,EMEA,07/05/2024,3529,Success,06/07/2024 13:45:39,06/07/2024 14:10:05
proj440,team20,dev,EMEA,16/06/2024,2194,Failure,07/07/2024 13:16:10,07/07/2024 13:38:29
proj43,team18,prod,AMER,07/03/2024,1462,Success,08/07/2024 12:55:19,08/07/2024 13:51:12
proj391,team8,dev,AMER,12/01/2024,2492,Success,09/07/2024 13:56:37,09/07/2024 14:13:54
proj69,team2,stg,APAC,01/03/2024,644,Failure,10/07/2024 13:16:40,10/07/2024 13:49:31
proj839,team4,dev,APAC,19/04/2024,2308,Success,11/07/2024 13:18:04,11/07/2024 14:02:55
proj3,team20,stg,APAC,13/03/2024,3999,Failure,12/07/2024 14:28:38,12/07/2024 14:32:04
proj6,team14,prod,EMEA,11/01/2024,274,Failure,13/07/2024 13:51:10,13/07/2024 14:00:35
proj31,team15,dev,EMEA,15/02/2024,124,Failure,14/07/2024 13:14:33,14/07/2024 13:37:25
proj0,team4,prod,EMEA,03/01/2024,2928,Failure,15/07/2024 14:11:41,15/07/2024 14:18:11
proj4,team1,stg,APAC,01/01/2024,2912,Failure,16/07/2024 13:30:37,16/07/2024 14:00:00
proj7,team14,dev,AMER,07/04/2024,3159,Success,17/07/2024 13:57:14,17/07/2024 13:59:42
proj652,team11,dev,APAC,13/03/2024,3832,Failure,18/07/2024 13:40:42,18/07/2024 14:15:22
proj83,team2,stg,APAC,17/06/2024,3380,Success,19/07/2024 13:12:32,19/07/2024 14:02:11
proj855,team18,stg,EMEA,01/02/2024,2943,Success,20/07/2024 13:49:03,20/07/2024 14:01:12
proj5,team9,stg,EMEA,07/06/2024,2027,Failure,27/06/2024 13:28:55,27/06/2024 14:24:42
proj5,team17,dev,AMER,21/03/2024,3871,Success,28/06/2024 13:15:00,28/06/2024 13:46:13
proj464,team17,stg,EMEA,07/07/2024,1209,Success,29/06/2024 12:55:44,29/06/2024 13:52:02
proj6,team16,stg,APAC,14/06/2024,314,Success,30/06/2024 13:35:12,30/06/2024 14:14:06
proj18,team5,dev,EMEA,19/04/2024,3035,Failure,01/07/2024 12:57:28,01/07/2024 13:42:10
proj99,team10,stg,APAC,21/01/2024,1129,Success,02/07/2024 12:58:15,02/07/2024 13:41:31
proj89,team12,prod,EMEA,19/05/2024,108,Success,03/07/2024 13:02:03,03/07/2024 13:45:31
proj7,team12,dev,APAC,24/04/2024,2340,Failure,04/07/2024 14:03:01,04/07/2024 14:21:46
proj5,team6,stg,APAC,13/06/2024,912,Failure,05/07/2024 13:40:19,05/07/2024 14:27:44
proj574,team17,dev,EMEA,07/05/2024,107,Failure,06/07/2024 13:09:37,06/07/2024 13:58:04
proj0,team9,stg,EMEA,25/01/2024,506,Failure,07/07/2024 13:46:41,07/07/2024 14:31:04
proj9,team7,stg,EMEA,01/07/2024,636,Failure,08/07/2024 14:03:56,08/07/2024 14:15:20
proj7,team9,stg,AMER,14/06/2024,3767,Success,09/07/2024 13:49:11,09/07/2024 14:28:45
proj03,team5,prod,AMER,02/07/2024,6,Success,10/07/2024 13:58:39,10/07/2024 14:17:55
proj10,team13,stg,APAC,08/03/2024,3851,Failure,11/07/2024 13:17:47,11/07/2024 14:00:15
proj15,team5,prod,EMEA,10/06/2024,3863,Failure,12/07/2024 13:38:34,12/07/2024 14:03:10
proj39,team14,dev,EMEA,18/01/2024,2319,Success,13/07/2024 13:52:35,13/07/2024 13:55:26
proj7,team4,stg,EMEA,08/02/2024,2173,Success,14/07/2024 13:45:58,14/07/2024 14:08:20
proj06,team11,dev,APAC,12/06/2024,2797,Failure,15/07/2024 13:48:29,15/07/2024 14:32:50
proj9,team4,prod,EMEA,06/07/2024,3956,Success,16/07/2024 12:51:47,16/07/2024 13:47:02
proj3,team9,dev,AMER,22/06/2024,633,Failure,17/07/2024 13:32:49,17/07/2024 14:21:18
proj79,team12,dev,EMEA,16/03/2024,565,Failure,18/07/2024 12:56:33,18/07/2024 13:53:56
proj5,team17,stg,AMER,21/02/2024,2104,Success,19/07/2024 13:43:56,19/07/2024 14:04:26
proj839,team13,stg,EMEA,23/06/2024,1509,Success,20/07/2024 14:04:20,20/07/2024 14:33:36
proj210,team15,stg,AMER,30/06/2024,3098,Failure,27/06/2024 13:22:02,27/06/2024 13:45:00
proj5,team13,stg,EMEA,19/04/2024,978,Failure,28/06/2024 14:09:17,28/06/2024 14:23:21
proj42,team16,dev,APAC,07/04/2024,2216,Failure,29/06/2024 13:33:49,29/06/2024 13:54:25
proj98,team3,stg,APAC,24/06/2024,222,Success,30/06/2024 13:13:26,30/06/2024 13:44:15
proj16,team20,stg,APAC,11/05/2024,3798,Failure,01/07/2024 14:05:13,01/07/2024 14:24:57
proj81,team4,dev,EMEA,07/04/2024,1192,Success,02/07/2024 13:52:01,02/07/2024 14:31:02
proj1,team12,prod,APAC,15/06/2024,3665,Success,03/07/2024 13:38:28,03/07/2024 13:54:53
proj86,team3,stg,APAC,26/01/2024,2097,Failure,04/07/2024 13:42:05,04/07/2024 14:16:03
proj17,team10,prod,APAC,21/06/2024,399,Failure,05/07/2024 13:38:10,05/07/2024 14:33:52
proj9,team19,prod,APAC,30/06/2024,2034,Failure,06/07/2024 13:26:55,06/07/2024 13:42:07
proj2,team11,stg,APAC,29/02/2024,677,Failure,07/07/2024 13:09:20,07/07/2024 14:07:21
proj7,team7,dev,AMER,17/06/2024,2389,Success,08/07/2024 13:20:46,08/07/2024 13:39:31
proj7,team2,stg,AMER,03/07/2024,2815,Success,09/07/2024 13:07:28,09/07/2024 13:40:46
proj770,team19,stg,AMER,19/05/2024,1927,Success,10/07/2024 13:58:35,10/07/2024 14:33:54
proj462,team5,prod,EMEA,26/05/2024,2410,Success,11/07/2024 13:07:37,11/07/2024 13:38:50
proj024,team3,dev,EMEA,25/04/2024,2667,Success,12/07/2024 13:50:24,12/07/2024 14:27:57
proj20,team6,stg,EMEA,13/01/2024,3531,Failure,13/07/2024 13:14:54,13/07/2024 13:48:23
proj9,team13,dev,APAC,01/03/2024,580,Success,14/07/2024 13:46:38,14/07/2024 13:56:05
proj72,team19,stg,APAC,23/01/2024,2893,Success,15/07/2024 14:16:42,15/07/2024 14:27:48
proj577,team14,stg,AMER,27/06/2024,3623,Success,16/07/2024 12:56:28,16/07/2024 13:47:39
proj56,team12,stg,EMEA,21/03/2024,1781,Success,17/07/2024 13:06:58,17/07/2024 14:00:56
proj18,team1,prod,EMEA,26/05/2024,1699,Failure,18/07/2024 13:39:10,18/07/2024 14:29:59
proj781,team12,prod,APAC,18/05/2024,1100,Failure,19/07/2024 13:56:15,19/07/2024 14:17:41
proj2,team17,dev,EMEA,02/03/2024,2367,Success,20/07/2024 13:28:53,20/07/2024 14:16:49
proj5,team16,stg,AMER,05/01/2024,231,Failure,02/07/2024 14:01:23,02/07/2024 14:29:30
proj0,team19,dev,APAC,21/05/2024,3628,Success,03/07/2024 13:37:26,03/07/2024 14:18:32
proj60,team12,prod,EMEA,04/07/2024,3599,Success,04/07/2024 13:09:48,04/07/2024 13:36:26
proj0,team3,stg,AMER,22/01/2024,3493,Success,05/07/2024 13:22:00,05/07/2024 14:16:17
proj68,team14,stg,AMER,21/05/2024,1967,Success,06/07/2024 13:03:22,06/07/2024 13:50:49
proj75,team8,dev,AMER,06/01/2024,3537,Failure,07/07/2024 12:40:27,07/07/2024 13:38:08
proj0,team5,prod,AMER,02/07/2024,892,Success,08/07/2024 13:50:55,08/07/2024 14:15:16
proj5,team20,prod,APAC,09/07/2024,2014,Success,09/07/2024 13:54:42,09/07/2024 14:26:58
proj08,team7,stg,APAC,02/04/2024,3027,Success,10/07/2024 13:07:41,10/07/2024 13:35:26
proj775,team19,dev,APAC,27/03/2024,3841,Failure,11/07/2024 13:29:09,11/07/2024 13:43:51
proj0,team14,stg,AMER,27/04/2024,1286,Failure,12/07/2024 13:35:00,12/07/2024 14:14:41
proj73,team9,prod,AMER,21/01/2024,3317,Failure,13/07/2024 13:18:38,13/07/2024 13:57:22
proj64,team4,dev,APAC,18/01/2024,94,Success,14/07/2024 13:40:15,14/07/2024 13:43:18
proj9,team4,stg,AMER,03/04/2024,2588,Failure,15/07/2024 13:29:29,15/07/2024 13:45:02
proj036,team20,prod,EMEA,05/05/2024,3834,Failure,16/07/2024 13:38:40,16/07/2024 14:33:33
proj8,team13,dev,APAC,10/06/2024,70,Failure,17/07/2024 13:53:17,17/07/2024 14:33:33
proj64,team3,dev,AMER,31/01/2024,3658,Failure,18/07/2024 13:43:46,18/07/2024 13:44:05
proj4,team6,stg,APAC,13/04/2024,1617,Failure,19/07/2024 13:48:21,19/07/2024 14:08:34
proj73,team19,prod,AMER,02/07/2024,1897,Success,20/07/2024 14:03:17,20/07/2024 14:28:08
proj05,team17,stg,AMER,23/06/2024,2104,Success,27/06/2024 14:14:58,27/06/2024 14:15:47
proj40,team1,prod,AMER,23/02/2024,340,Failure,28/06/2024 14:08:59,28/06/2024 14:09:56
proj074,team11,stg,EMEA,05/04/2024,2969,Failure,29/06/2024 13:23:27,29/06/2024 13:37:29
proj5,team3,dev,APAC,20/01/2024,569,Success,30/06/2024 13:06:23,30/06/2024 14:02:55
proj39,team1,prod,EMEA,06/01/2024,1640,Success,01/07/2024 14:05:33,01/07/2024 14:33:53
proj014,team7,dev,AMER,08/02/2024,420,Success,02/07/2024 13:53:20,02/07/2024 14:26:02
proj79,team12,stg,AMER,05/05/2024,3130,Success,03/07/2024 13:23:09,03/07/2024 13:46:52
proj24,team6,prod,EMEA,26/04/2024,1010,Failure,04/07/2024 12:37:59,04/07/2024 13:35:03
proj001,team6,stg,AMER,29/02/2024,2743,Failure,05/07/2024 13:17:54,05/07/2024 13:52:28
proj9,team19,dev,EMEA,20/02/2024,1540,Success,06/07/2024 13:09:45,06/07/2024 13:53:02
proj70,team3,prod,AMER,11/06/2024,538,Failure,07/07/2024 13:22:04,07/07/2024 14:04:50
proj0,team3,prod,APAC,28/06/2024,684,Success,08/07/2024 12:49:03,08/07/2024 13:36:46
proj9,team12,dev,EMEA,31/01/2024,227,Failure,09/07/2024 13:30:19,09/07/2024 13:47:58
proj60,team5,prod,APAC,06/07/2024,3436,Success,10/07/2024 13:03:15,10/07/2024 13:53:54
proj718,team1,stg,APAC,26/03/2024,3605,Success,11/07/2024 13:20:53,11/07/2024 14:00:38
proj57,team19,prod,AMER,26/03/2024,2290,Success,12/07/2024 13:32:01,12/07/2024 13:39:48
proj3,team10,dev,AMER,06/07/2024,293,Failure,13/07/2024 13:03:32,13/07/2024 13:55:59
proj7,team19,stg,APAC,16/04/2024,416,Success,14/07/2024 13:16:41,14/07/2024 14:02:36
proj336,team5,stg,AMER,21/04/2024,3517,Failure,15/07/2024 13:24:26,15/07/2024 13:56:13
proj0,team1,prod,AMER,26/02/2024,221,Success,16/07/2024 14:00:28,16/07/2024 14:33:29
proj53,team18,stg,AMER,05/05/2024,2691,Failure,17/07/2024 13:18:50,17/07/2024 14:01:20
proj3,team13,dev,AMER,27/05/2024,1697,Success,18/07/2024 13:02:18,18/07/2024 13:56:35
proj7,team16,dev,EMEA,15/06/2024,3427,Failure,19/07/2024 13:36:34,19/07/2024 14:25:31
proj1,team12,stg,AMER,28/04/2024,2986,Failure,20/07/2024 13:43:57,20/07/2024 14:33:34
proj1,team20,dev,APAC,13/01/2024,3637,Failure,27/06/2024 14:09:33,27/06/2024 14:30:08
proj12,team15,dev,APAC,31/05/2024,2999,Success,28/06/2024 13:34:25,28/06/2024 13:48:05
proj6,team17,stg,EMEA,29/02/2024,1077,Success,29/06/2024 12:44:09,29/06/2024 13:37:04
proj992,team15,stg,AMER,09/05/2024,3446,Failure,30/06/2024 13:30:41,30/06/2024 14:14:53
proj2,team12,dev,APAC,27/01/2024,1229,Success,01/07/2024 14:03:26,01/07/2024 14:06:53
proj9,team9,prod,EMEA,21/05/2024,2315,Success,02/07/2024 14:04:56,02/07/2024 14:24:33
proj888,team11,dev,EMEA,30/05/2024,2346,Failure,03/07/2024 13:25:01,03/07/2024 14:04:40
proj387,team1,prod,AMER,17/04/2024,1897,Success,04/07/2024 13:16:53,04/07/2024 14:13:42
proj2,team20,stg,EMEA,18/03/2024,3991,Failure,05/07/2024 14:17:13,05/07/2024 14:30:06
proj1,team17,stg,EMEA,18/06/2024,2610,Failure,06/07/2024 13:42:31,06/07/2024 14:04:08
proj309,team9,prod,EMEA,16/04/2024,1777,Failure,07/07/2024 13:25:10,07/07/2024 13:45:36
proj576,team2,stg,EMEA,14/01/2024,2485,Failure,08/07/2024 13:31:32,08/07/2024 14:06:25
proj5,team15,prod,EMEA,26/01/2024,1112,Success,09/07/2024 13:19:55,09/07/2024 13:37:51
proj9,team16,prod,AMER,15/01/2024,2192,Success,10/07/2024 14:00:12,10/07/2024 14:15:08
proj502,team17,prod,EMEA,01/06/2024,1088,Failure,11/07/2024 13:33:13,11/07/2024 14:20:45
proj47,team9,dev,APAC,02/07/2024,3449,Failure,12/07/2024 13:40:30,12/07/2024 14:33:41
proj713,team18,prod,APAC,16/04/2024,3726,Success,13/07/2024 13:00:41,13/07/2024 13:41:25
proj7,team7,dev,AMER,22/02/2024,3311,Failure,14/07/2024 13:41:29,14/07/2024 14:23:33
proj42,team7,dev,AMER,13/06/2024,2049,Success,15/07/2024 13:18:55,15/07/2024 13:58:46
proj5,team7,dev,APAC,29/06/2024,3053,Success,16/07/2024 13:15:35,16/07/2024 13:59:28
proj4,team15,stg,EMEA,05/07/2024,1710,Failure,17/07/2024 14:15:22,17/07/2024 14:17:12
proj410,team16,stg,APAC,21/04/2024,522,Failure,18/07/2024 13:35:44,18/07/2024 14:20:22
proj1,team17,stg,EMEA,27/03/2024,3428,Success,19/07/2024 13:25:50,19/07/2024 14:11:24
proj52,team6,stg,EMEA,16/03/2024,2209,Failure,20/07/2024 12:51:58,20/07/2024 13:40:49
proj303,team18,prod,EMEA,15/06/2024,1731,Failure,27/06/2024 13:28:29,27/06/2024 14:02:17
proj43,team13,dev,AMER,18/02/2024,3607,Failure,28/06/2024 13:20:09,28/06/2024 13:56:41
proj043,team4,stg,EMEA,15/04/2024,3932,Success,29/06/2024 13:41:26,29/06/2024 14:05:08
proj31,team14,stg,APAC,21/03/2024,779,Failure,30/06/2024 13:53:33,30/06/2024 14:33:35
proj55,team8,stg,AMER,16/03/2024,2808,Failure,01/07/2024 13:48:04,01/07/2024 14:20:37
proj4,team8,stg,AMER,05/02/2024,337,Failure,02/07/2024 13:46:05,02/07/2024 14:13:10
proj9,team10,stg,APAC,30/04/2024,435,Failure,03/07/2024 14:05:00,03/07/2024 14:05:45
proj390,team4,dev,AMER,23/02/2024,3113,Failure,04/07/2024 13:36:50,04/07/2024 14:12:00
proj88,team13,prod,AMER,05/06/2024,3232,Failure,05/07/2024 13:47:26,05/07/2024 14:32:22
proj4,team9,stg,EMEA,26/05/2024,2947,Failure,06/07/2024 13:47:36,06/07/2024 14:09:23
proj9,team11,dev,APAC,14/03/2024,2374,Success,07/07/2024 13:23:24,07/07/2024 13:42:58
proj358,team13,dev,AMER,31/05/2024,3216,Success,08/07/2024 13:22:08,08/07/2024 14:14:05
proj4,team14,stg,AMER,25/03/2024,368,Success,09/07/2024 13:01:46,09/07/2024 13:36:14
proj232,team9,prod,EMEA,30/01/2024,3145,Success,10/07/2024 13:11:37,10/07/2024 13:43:14
proj4,team11,prod,AMER,23/01/2024,3326,Failure,11/07/2024 13:19:54,11/07/2024 13:56:52
proj49,team19,dev,APAC,19/06/2024,39,Success,12/07/2024 12:52:35,12/07/2024 13:43:36
proj8,team7,dev,EMEA,27/05/2024,3679,Failure,13/07/2024 13:42:51,13/07/2024 14:02:05
proj33,team16,dev,AMER,04/01/2024,2753,Failure,14/07/2024 13:34:08,14/07/2024 13:35:08
proj25,team12,stg,AMER,17/02/2024,2901,Failure,15/07/2024 13:00:26,15/07/2024 13:44:18
proj492,team9,prod,EMEA,24/01/2024,29,Failure,16/07/2024 13:29:47,16/07/2024 14:18:08
proj63,team16,prod,APAC,07/05/2024,199,Success,17/07/2024 13:06:44,17/07/2024 13:39:02
proj541,team10,prod,APAC,16/01/2024,2718,Success,18/07/2024 13:26:04,18/07/2024 14:10:45
proj46,team5,stg,EMEA,08/03/2024,3296,Success,19/07/2024 13:43:43,19/07/2024 14:24:14
proj409,team3,dev,EMEA,09/02/2024,3941,Success,20/07/2024 13:23:49,20/07/2024 13:59:00
proj966,team5,stg,EMEA,07/04/2024,1663,Success,27/06/2024 13:58:55,27/06/2024 14:07:12
proj1,team16,dev,EMEA,12/04/2024,1707,Failure,28/06/2024 13:55:02,28/06/2024 13:59:07
proj093,team7,dev,EMEA,15/05/2024,3846,Success,29/06/2024 13:26:59,29/06/2024 14:13:09
proj516,team19,dev,EMEA,03/05/2024,1529,Success,30/06/2024 14:15:47,30/06/2024 14:17:31
proj601,team10,stg,AMER,13/05/2024,3920,Success,01/07/2024 13:29:20,01/07/2024 14:10:27
proj1,team15,stg,APAC,04/03/2024,1909,Success,02/07/2024 13:34:38,02/07/2024 14:20:58
proj805,team13,prod,APAC,20/02/2024,384,Success,03/07/2024 13:34:37,03/07/2024 14:08:05
proj6,team14,prod,EMEA,23/04/2024,2748,Success,04/07/2024 13:19:43,04/07/2024 13:51:12
proj471,team12,prod,AMER,23/01/2024,1757,Success,05/07/2024 13:46:02,05/07/2024 14:10:06
proj7,team7,stg,APAC,13/04/2024,2949,Success,06/07/2024 13:20:22,06/07/2024 13:50:10
proj2,team1,stg,AMER,31/01/2024,1277,Failure,07/07/2024 13:44:07,07/07/2024 14:02:17
proj6,team17,dev,EMEA,25/01/2024,2529,Failure,08/07/2024 13:24:09,08/07/2024 14:07:18
proj945,team5,dev,APAC,24/02/2024,1077,Success,09/07/2024 14:15:00,09/07/2024 14:25:12
proj0,team19,stg,EMEA,08/02/2024,1649,Failure,10/07/2024 13:48:43,10/07/2024 14:21:46
proj179,team17,prod,AMER,15/01/2024,3178,Failure,11/07/2024 13:12:23,11/07/2024 13:51:27
proj38,team1,prod,AMER,04/01/2024,3881,Success,12/07/2024 13:35:56,12/07/2024 14:26:41
proj70,team17,stg,APAC,27/02/2024,2569,Success,13/07/2024 13:20:28,13/07/2024 14:15:00
proj3,team6,stg,EMEA,23/02/2024,214,Success,14/07/2024 13:17:51,14/07/2024 13:41:58
proj562,team5,dev,AMER,11/06/2024,2075,Success,15/07/2024 14:05:11,15/07/2024 14:22:57
proj652,team16,prod,AMER,02/03/2024,1975,Failure,16/07/2024 13:10:54,16/07/2024 13:51:57
proj92,team17,dev,AMER,16/05/2024,3950,Success,17/07/2024 13:46:44,17/07/2024 14:07:19
proj21,team16,prod,APAC,11/01/2024,3528,Success,18/07/2024 13:23:41,18/07/2024 14:10:23
proj51,team6,dev,AMER,19/03/2024,2187,Success,19/07/2024 14:00:59,19/07/2024 14:13:41
proj139,team7,prod,AMER,17/03/2024,1333,Success,20/07/2024 13:39:52,20/07/2024 14:06:57
proj43,team2,dev,AMER,06/03/2024,128,Success,27/06/2024 13:42:18,27/06/2024 13:46:56
proj140,team3,stg,EMEA,31/03/2024,993,Failure,28/06/2024 12:45:01,28/06/2024 13:35:19
proj8,team15,dev,AMER,04/03/2024,3119,Success,29/06/2024 13:39:23,29/06/2024 13:52:51
proj77,team2,prod,EMEA,20/05/2024,3966,Success,30/06/2024 13:02:29,30/06/2024 13:45:26
proj236,team18,dev,AMER,19/03/2024,805,Success,01/07/2024 13:35:36,01/07/2024 14:05:35
proj43,team7,stg,APAC,10/07/2024,1312,Failure,02/07/2024 14:14:21,02/07/2024 14:30:31
proj862,team6,stg,AMER,09/02/2024,177,Failure,03/07/2024 13:21:21,03/07/2024 14:13:26
proj48,team19,dev,AMER,28/03/2024,679,Failure,04/07/2024 13:50:02,04/07/2024 14:02:30
proj8,team19,prod,EMEA,07/02/2024,1010,Success,05/07/2024 13:10:40,05/07/2024 14:09:13
proj27,team8,stg,AMER,29/01/2024,3677,Failure,06/07/2024 13:14:04,06/07/2024 14:08:47
proj6,team12,prod,EMEA,04/01/2024,2359,Failure,07/07/2024 13:16:56,07/07/2024 13:34:28
proj6,team12,prod,EMEA,11/06/2024,3859,Failure,08/07/2024 13:24:20,08/07/2024 14:10:24
proj8,team16,prod,APAC,04/02/2024,1433,Success,09/07/2024 13:21:13,09/07/2024 13:49:07
proj8,team12,prod,AMER,30/04/2024,2369,Failure,10/07/2024 13:58:10,10/07/2024 14:14:40
proj541,team5,prod,AMER,16/06/2024,1305,Failure,11/07/2024 13:21:07,11/07/2024 14:04:28
proj8,team2,prod,EMEA,01/06/2024,1873,Success,12/07/2024 13:45:46,12/07/2024 14:32:26
proj0,team2,dev,APAC,23/06/2024,2239,Success,13/07/2024 13:03:14,13/07/2024 13:49:09
proj06,team7,dev,EMEA,29/03/2024,1862,Failure,14/07/2024 13:37:18,14/07/2024 13:51:51
proj5,team18,dev,APAC,27/02/2024,1903,Success,15/07/2024 13:54:11,15/07/2024 14:06:38
proj51,team7,dev,AMER,02/04/2024,1186,Failure,16/07/2024 12:55:57,16/07/2024 13:46:31
proj77,team13,dev,AMER,04/07/2024,1144,Failure,17/07/2024 13:30:46,17/07/2024 13:57:44
proj76,team14,dev,EMEA,10/06/2024,3251,Success,18/07/2024 13:14:42,18/07/2024 14:07:40
proj3,team9,stg,APAC,07/02/2024,319,Success,19/07/2024 12:42:49,19/07/2024 13:39:37
proj7,team6,dev,APAC,06/01/2024,2505,Failure,20/07/2024 13:58:06,20/07/2024 14:14:53
proj4,team19,stg,EMEA,23/04/2024,3216,Failure,27/06/2024 12:40:16,27/06/2024 13:37:45
proj5,team11,prod,AMER,17/02/2024,2641,Failure,28/06/2024 14:02:55,28/06/2024 14:17:06
proj3,team3,prod,EMEA,18/06/2024,313,Success,29/06/2024 13:32:16,29/06/2024 14:28:12
proj44,team18,stg,AMER,13/05/2024,1779,Failure,30/06/2024 13:44:08,30/06/2024 14:15:39
proj44,team15,dev,EMEA,21/01/2024,1632,Success,01/07/2024 13:55:43,01/07/2024 14:09:46
proj84,team15,stg,APAC,08/06/2024,3678,Failure,02/07/2024 13:37:25,02/07/2024 14:04:17
proj5,team20,dev,EMEA,09/01/2024,3404,Success,03/07/2024 13:16:50,03/07/2024 13:56:52
proj064,team6,dev,EMEA,17/01/2024,2546,Failure,04/07/2024 13:09:18,04/07/2024 13:35:21
proj55,team8,dev,EMEA,09/06/2024,3409,Success,05/07/2024 13:32:23,05/07/2024 14:28:30
proj78,team14,prod,AMER,03/03/2024,3605,Failure,06/07/2024 13:05:16,06/07/2024 13:50:24
proj92,team14,dev,EMEA,14/05/2024,158,Failure,07/07/2024 12:56:28,07/07/2024 13:40:22
proj48,team16,stg,AMER,30/01/2024,1666,Failure,08/07/2024 13:14:09,08/07/2024 14:14:53
proj990,team20,prod,EMEA,29/03/2024,1797,Failure,09/07/2024 13:07:38,09/07/2024 13:40:26
proj3,team6,stg,AMER,14/04/2024,3728,Failure,10/07/2024 13:58:59,10/07/2024 14:01:51
proj420,team18,stg,AMER,20/04/2024,2908,Failure,11/07/2024 13:13:10,11/07/2024 13:53:48
proj3,team2,stg,APAC,27/02/2024,2720,Failure,12/07/2024 13:51:21,12/07/2024 14:23:08
proj912,team6,dev,AMER,04/04/2024,1195,Success,13/07/2024 13:22:46,13/07/2024 14:12:15
proj7,team7,dev,APAC,21/01/2024,1576,Failure,14/07/2024 13:58:44,14/07/2024 14:32:57
proj0,team16,stg,APAC,28/04/2024,1642,Failure,15/07/2024 13:35:11,15/07/2024 13:54:23
proj162,team7,stg,AMER,10/03/2024,2211,Failure,16/07/2024 13:41:15,16/07/2024 13:46:58
proj85,team10,prod,EMEA,04/06/2024,1988,Success,17/07/2024 13:29:34,17/07/2024 14:21:19
proj89,team19,prod,APAC,17/01/2024,3435,Failure,18/07/2024 13:41:34,18/07/2024 13:46:39
proj557,team11,prod,APAC,01/04/2024,710,Failure,19/07/2024 12:54:00,19/07/2024 13:47:04
proj343,team16,prod,AMER,25/02/2024,790,Failure,20/07/2024 14:22:54,20/07/2024 14:33:51
proj14,team16,stg,APAC,06/06/2024,2461,Failure,02/07/2024 12:51:56,02/07/2024 13:34:42
proj8,team5,prod,EMEA,10/03/2024,3118,Success,03/07/2024 14:11:11,03/07/2024 14:32:12
